Tournament_Name,Date,Name,Salary
WYNDHAM_2026,8/8/26,Lanto Griffin,6400
WYNDHAM_2026,8/8/26,Justin Lower,6400
WYNDHAM_2026,8/8/26,Adam Svensson,6400
WYNDHAM_2026,8/8/26,Trace Crowe,6300
WYNDHAM_2026,8/8/26,C.T. Pan,6300
WYNDHAM_2026,8/8/26,Davis Chatfield,6300
WYNDHAM_2026,8/8/26,Erik Van Rooyen,6300
WYNDHAM_2026,8/8/26,Nick Dunlap,6300
WYNDHAM_2026,8/8/26,Hank Lebioda,6300
WYNDHAM_2026,8/8/26,Pontus Nyholm,6300
WYNDHAM_2026,8/8/26,Ben Silverman,6300
WYNDHAM_2026,8/8/26,Dylan Wu,6200
WYNDHAM_2026,8/8/26,John VanDerLaan,6200
WYNDHAM_2026,8/8/26,Joe Highsmith,6200
WYNDHAM_2026,8/8/26,Gordon Sargent,6200
WYNDHAM_2026,8/8/26,Brian Campbell,6200
WYNDHAM_2026,8/8/26,Kevin Streelman,6200
WYNDHAM_2026,8/8/26,Jeffrey Kang,6200
WYNDHAM_2026,8/8/26,Luke List,6200
WYNDHAM_2026,8/8/26,Hayden Springer,6200
WYNDHAM_2026,8/8/26,Brice Garnett,6100
WYNDHAM_2026,8/8/26,Stefano Mazzoli,6100
WYNDHAM_2026,8/8/26,Peter Malnati,6100
WYNDHAM_2026,8/8/26,Kensei Hirata,6100
WYNDHAM_2026,8/8/26,Adam Schenk,6100
WYNDHAM_2026,8/8/26,Cameron Davis,6100
WYNDHAM_2026,8/8/26,Danny Walker,6100
WYNDHAM_2026,8/8/26,Jimmy Stanger,6100
WYNDHAM_2026,8/8/26,Camilo Villegas,6100
WYNDHAM_2026,8/8/26,Alejandro Tosti,6000
WYNDHAM_2026,8/8/26,Christo Lamprecht,6000
WYNDHAM_2026,8/8/26,Marcelo Rozo,6000
WYNDHAM_2026,8/8/26,Patton Kizzire,6000
WYNDHAM_2026,8/8/26,Rafael Campos,6000
WYNDHAM_2026,8/8/26,Tyler Collet,6000
WYNDHAM_2026,8/8/26,Cooper Hrabak,6000
WYNDHAM_2026,8/8/26,Keenan Huskey,6000
WYNDHAM_2026,8/8/26,William McGirt,6000
WYNDHAM_2026,8/8/26,Lorenzo Rodriguez,6000
